Colorado,Buck,Ken,RepKenBuck
Colorado,Crow,Jason,JasonCrowCO6
Colorado,Crow,Jason,RepJasonCrow
Colorado,DeGette,Diana,RepDianaDeGette
Colorado,Lamborn,Doug,DougLambornCD5
Colorado,Lamborn,Doug,RepDLamborn
Colorado,Neguse,Joe,JoeNeguse
Colorado,Neguse,Joe,RepJoeNeguse
Colorado,Perlmutter,Ed,Ed4Colorado
Colorado,Perlmutter,Ed,RepPerlmutter
Colorado,Tipton,Scott,RepTipton
Colorado,Tipton,Scott,ScottRTipton
Connecticut,Courtney,Joe,JoeCourtneyCT
Connecticut,Courtney,Joe,RepJoeCourtney
Connecticut,DeLauro,Rosa,Rosa_DeLauro
Connecticut,DeLauro,Rosa,rosadelauro
Connecticut,Hayes,Jahana,JahanaHayesCT
Connecticut,Hayes,Jahana,RepJahanaHayes
Connecticut,Himes,James,jahimes
Connecticut,Larson,John,JohnLarsonCT
Connecticut,Larson,John,RepJohnLarson
Delaware,Blunt Rochester,Lisa,LisaBRochester
Delaware,Blunt Rochester,Lisa,RepLBR
District of Columbia,Norton,Eleanor,EleanorNorton
Florida,Bilirakis,Gus,Bilirakis
Florida,Bilirakis,Gus,RepGusBilirakis
Florida,Buchanan,Vern,VernBuchanan
Florida,Castor,Kathy,KathyCastorFL
Florida,Castor,Kathy,USRepKCastor
Florida,Crist,Charlie,CharlieCrist
Florida,Crist,Charlie,RepCharlieCrist
Florida,Demings,Val,RepValDemings
Florida,Demings,Val,val_demings
Florida,Deutch,Theodore,RepTedDeutch
Florida,Deutch,Theodore,TedDeutch
Florida,Diaz-Balart,Mario,MarioDB
Florida,Diaz-Balart,Mario,MarioDBCamp
Florida,Dunn,Neal,DrNealDunnFL2
Florida,Dunn,Neal,DunnCampaign
Florida,Frankel,Lois,LoisFrankel
Florida,Frankel,Lois,RepLoisFrankel
Florida,Gaetz,Matt,RepMattGaetz
Florida,Gaetz,Matt,mattgaetz
Florida,Hastings,Alcee,RepHastingsFL
Florida,Hastings,Alcee,alcee4congress
Florida,Lawson,Al,AlLawsonJr
Florida,Lawson,Al,RepAlLawsonJr
Florida,Mast,Brian,BrianMastFL
Florida,Mast,Brian,RepBrianMast
Florida,Mucarsel-Powell,Debbie,DebbieforFL
Florida,Mucarsel-Powell,Debbie,RepDMP
Florida,Murphy,Stephanie,RepStephMurphy
Florida,Murphy,Stephanie,SMurphyCongress
Florida,Posey,Bill,congbillposey
Florida,Rooney,Francis,FrancisRooney
Florida,Rooney,Francis,RepRooney
Florida,Rutherford,John,JRutherfordFL
Florida,Rutherford,John,RepRutherfordFL
Florida,Shalala,Donna,DonnaShalala
Florida,Shalala,Donna,RepShalala
Florida,Soto,Darren,DarrenSoto
Florida,Soto,Darren,RepDarrenSoto
Florida,Spano,Ross,RossSpano
Florida,Steube,Greg,RepGregSteube
